,instance_date,actual_worth,row_status_code,property_type_en,property_sub_type_en,area_name_en,actual_area,worth_per_sqft
96,10/18/2011,81669.62409699382,Completed,Unit,Flat,Marsa Dubai,111.99,729.2581846325013
97,10/19/2011,81669.62409699382,Completed,Unit,Flat,Al Thanyah Third,120.0,680.5802008082818
98,10/31/2011,25985.789485407124,Completed,Unit,Flat,Al Warsan First,67.0,387.84760425980784
99,06/20/2011,608809.9250866813,Completed,Unit,Flat,Business Bay,84.18,7232.239547240214
100,07/18/2011,118792.18050471829,Completed,Building,Villa,Al Thanayah Fourth,324.37,366.2243132987585
101,07/13/2011,74245.11281544891,Completed,Unit,Flat,Marsa Dubai,87.79,845.7126417069018
102,07/18/2011,74245.11281544891,Completed,Unit,Flat,Marsa Dubai,84.73,876.2553147108333
103,07/26/2011,96518.6466600836,Completed,Building,Villa,Al Thanayah Fourth,172.48,559.5932668140283
109,09/26/2011,74245.11281544891,Completed,Unit,Flat,Al Thanyah Third,131.74,563.573043991566
110,10/19/2011,96518.6466600836,Completed,Unit,Flat,Marsa Dubai,147.53,654.2306423106053
111,10/31/2011,103943.1579416285,Completed,Unit,Flat,Al Thanyah Third,193.1,538.2866801741507
112,11/20/2011,111367.66922317339,Completed,Unit,Flat,Burj Khalifa,126.53,880.1680962868362
113,11/15/2011,81669.62409699382,Completed,Unit,Flat,Burj Khalifa,86.96,939.1631105910054
114,11/22/2010,74245.11281544891,Completed,Unit,Flat,Al Thanyah Third,63.19,1174.950353148424
116,11/24/2010,133641.20306780806,Completed,Building,Villa,Al Thanayah Fourth,374.48,356.8714031932495
117,01/24/2011,29698.04512617957,Completed,Unit,Flat,Al Thanyah Third,39.02,761.0980298867137
118,05/23/2011,89094.13537853872,Completed,Unit,Flat,Marsa Dubai,144.09,618.3228216985128
120,06/13/2011,173323.7309654092,Completed,Unit,Flat,Marsa Dubai,271.1,639.3350459808528
121,06/19/2011,126216.69178626317,Completed,Building,Villa,Al Thanayah Fourth,238.02,530.2776732470513
122,06/27/2011,74245.11281544891,Completed,Unit,Flat,Marsa Dubai,120.26,617.3716349197481
124,11/22/2010,74245.11281544891,Completed,Unit,Flat,Al Thanyah Third,91.52,811.2446767422302
125,11/30/2010,118792.18050471829,Completed,Unit,Flat,Marsa Dubai,178.52,665.4278540483883
126,11/30/2010,44547.06768926936,Completed,Unit,Flat,Al Thanyah Third,71.31,624.6959429150099
127,02/14/2011,103943.1579416285,Completed,Building,Villa,Wadi Al Safa 6,258.12,402.6931579948415
129,12/16/2010,89094.13537853872,Completed,Building,Villa,Al Thanayah Fourth,184.46,482.9997580968162
130,12/16/2010,148490.22563089782,Completed,Building,Villa,Al Thanayah Fourth,384.31,386.3813734508543
131,12/29/2010,103943.1579416285,Completed,Unit,Flat,Al Thanyah Third,192.34,540.4136318063247
132,01/23/2011,53456.48122712322,Completed,Unit,Office,Business Bay,101.87,524.7519507914324
136,06/22/2010,74245.11281544891,Completed,Unit,Flat,Marsa Dubai,110.34,672.8757732050834
141,09/20/2010,63108.34589313158,Completed,Unit,Flat,Marsa Dubai,70.03,901.1615863648663
143,09/20/2010,133641.20306780806,Completed,Unit,Flat,Palm Jumeirah,144.07,927.6129872132162
145,10/13/2010,96518.6466600836,Completed,Building,Villa,Al Thanayah Fourth,206.99,466.2961817483144
